cve_id,product_name,cvss_base_score,cisa_kev,first_epss
CVE-2025-5380,Core Banking Framework,9.8,False,0.02704
CVE-2025-7833,Core Banking Framework,8.1,False,0.04122
CVE-2025-2291,Identity Provider SaaS,8.4,False,0.04667
CVE-2026-1698,Identity Provider SaaS,4.3,True,0.556
CVE-2026-2678,Cloud Database Engine,9.9,False,0.01935
CVE-2026-1133,Enterprise Router OS,9.0,False,0.01403
CVE-2026-9322,Embedded IoT Gateway,8.9,False,0.02799
CVE-2026-3731,Core Banking Framework,8.5,False,0.01065
CVE-2025-1860,Identity Provider SaaS,5.6,False,0.03797
CVE-2023-1995,Embedded IoT Gateway,5.6,True,0.63875
CVE-2022-8400,Identity Provider SaaS,7.1,False,0.02827
CVE-2023-9945,Identity Provider SaaS,6.4,False,0.81349
CVE-2024-5636,Identity Provider SaaS,5.3,False,0.5384
CVE-2024-7287,Cloud Database Engine,6.4,False,0.01774
CVE-2025-6625,Enterprise Router OS,8.7,False,0.04319
CVE-2024-5496,Core Banking Framework,4.9,False,0.01328
CVE-2025-3693,Cloud Database Engine,7.7,False,0.02919
CVE-2023-1262,Enterprise Router OS,6.8,False,0.03503
CVE-2025-2693,Enterprise Router OS,9.4,False,0.00903
CVE-2025-5199,Identity Provider SaaS,4.2,False,0.00926
CVE-2025-1860,Core Banking Framework,6.8,False,0.02542
CVE-2022-2306,Cloud Database Engine,8.8,False,0.89403
CVE-2022-1391,Core Banking Framework,4.0,False,0.70615
CVE-2026-8027,Web Application Firewall,5.4,False,0.03617
CVE-2023-2816,Web Application Firewall,4.9,False,0.0423
CVE-2022-6917,Embedded IoT Gateway,4.6,False,0.0125
CVE-2024-3255,Core Banking Framework,5.1,False,0.00492
CVE-2022-3961,Embedded IoT Gateway,5.4,False,0.01808
CVE-2022-3967,Core Banking Framework,6.9,False,0.02811
CVE-2022-3143,Identity Provider SaaS,6.3,False,0.03057
CVE-2025-1728,Enterprise Router OS,5.4,False,0.01267
CVE-2023-1466,Web Application Firewall,5.1,False,0.04489
CVE-2025-1717,Identity Provider SaaS,7.1,False,0.00605
CVE-2025-5380,Identity Provider SaaS,9.2,False,0.00896
CVE-2022-9755,Enterprise Router OS,8.3,False,0.04201
CVE-2024-5496,Web Application Firewall,9.8,False,0.03694
CVE-2022-8996,Enterprise Router OS,7.7,False,0.00814
CVE-2024-7801,Enterprise Router OS,6.2,False,0.02767
CVE-2025-9666,Cloud Database Engine,4.5,False,0.37935
CVE-2026-5887,Identity Provider SaaS,6.1,False,0.04827
CVE-2024-1225,Cloud Database Engine,5.1,True,0.80396
CVE-2025-2484,Core Banking Framework,4.8,False,0.0086
CVE-2024-3427,Core Banking Framework,8.9,False,0.01826
CVE-2026-4440,Cloud Database Engine,6.4,False,0.01916
CVE-2025-5869,Core Banking Framework,5.8,False,0.01199
CVE-2024-9808,Cloud Database Engine,7.3,False,0.00629
CVE-2022-5555,Identity Provider SaaS,7.8,False,0.83994
CVE-2023-8455,Enterprise Router OS,7.2,False,0.00801
CVE-2023-1197,Core Banking Framework,5.5,False,0.68752
CVE-2025-7420,Core Banking Framework,9.3,False,0.00598
CVE-2026-1412,Core Banking Framework,4.8,False,0.00792
CVE-2024-6618,Embedded IoT Gateway,8.3,False,0.03485
CVE-2024-3703,Cloud Database Engine,5.5,False,0.04547
CVE-2026-5887,Web Application Firewall,6.4,False,0.00809
CVE-2024-8683,Web Application Firewall,4.6,False,0.02985
CVE-2025-7278,Core Banking Framework,4.6,False,0.00658
CVE-2025-8098,Core Banking Framework,5.0,False,0.01694
CVE-2024-9110,Identity Provider SaaS,7.5,False,0.52793
CVE-2026-8158,Cloud Database Engine,6.0,False,0.04603
CVE-2023-7303,Identity Provider SaaS,8.4,False,0.0229
CVE-2025-5869,Web Application Firewall,5.1,False,0.04578
CVE-2025-4051,Core Banking Framework,7.5,False,0.75121
CVE-2022-2636,Enterprise Router OS,4.9,False,0.97787
CVE-2024-6892,Enterprise Router OS,5.9,False,0.04009
CVE-2026-7873,Web Application Firewall,5.1,True,0.62101
CVE-2024-4556,Cloud Database Engine,5.8,False,0.02696
CVE-2023-9815,Cloud Database Engine,7.0,False,0.52737
CVE-2025-1854,Embedded IoT Gateway,9.0,False,0.02781
CVE-2026-8860,Core Banking Framework,7.6,False,0.04443
CVE-2023-6791,Cloud Database Engine,8.8,False,0.04044
CVE-2023-9716,Web Application Firewall,5.2,False,0.00114
CVE-2026-2191,Enterprise Router OS,5.2,True,0.42338
CVE-2026-7863,Core Banking Framework,6.5,False,0.01742
CVE-2024-2122,Cloud Database Engine,6.2,True,0.86485
CVE-2022-8114,Web Application Firewall,8.6,False,0.01137
CVE-2024-1504,Enterprise Router OS,9.2,False,0.04009
CVE-2022-5611,Cloud Database Engine,4.1,False,0.03186
CVE-2022-3141,Web Application Firewall,7.9,False,0.91239
CVE-2024-7287,Core Banking Framework,4.1,False,0.69203
CVE-2023-1995,Enterprise Router OS,6.4,False,0.00578
CVE-2025-1775,Enterprise Router OS,5.6,False,0.03184
CVE-2023-8509,Enterprise Router OS,6.5,False,0.00282
CVE-2022-8404,Identity Provider SaaS,4.5,False,0.86921
CVE-2022-5555,Embedded IoT Gateway,8.3,False,0.02406
CVE-2023-1262,Web Application Firewall,4.8,False,0.02722
CVE-2026-6745,Embedded IoT Gateway,4.3,False,0.01705
CVE-2023-2816,Cloud Database Engine,4.6,True,0.79517
CVE-2025-9002,Core Banking Framework,8.1,False,0.04105
CVE-2025-1728,Embedded IoT Gateway,8.2,False,0.01837
CVE-2022-9006,Identity Provider SaaS,9.5,False,0.02258
CVE-2023-7396,Web Application Firewall,9.7,False,0.03807
CVE-2023-2679,Enterprise Router OS,9.4,False,0.00305
CVE-2025-7235,Cloud Database Engine,7.5,False,0.02392
CVE-2025-4141,Core Banking Framework,8.4,False,0.5868
CVE-2025-2291,Web Application Firewall,4.3,False,0.03241
CVE-2024-3558,Identity Provider SaaS,7.4,False,0.02675
CVE-2026-5465,Embedded IoT Gateway,7.4,False,0.03325
CVE-2023-7303,Enterprise Router OS,9.3,False,0.00171
CVE-2025-6919,Cloud Database Engine,4.1,False,0.04698
CVE-2026-6745,Identity Provider SaaS,10.0,False,0.0204
CVE-2024-5171,Embedded IoT Gateway,7.8,False,0.03853
CVE-2026-2678,Web Application Firewall,4.0,False,0.04271
CVE-2026-2060,Web Application Firewall,7.5,False,0.00273
CVE-2022-8996,Identity Provider SaaS,9.7,False,0.58395
CVE-2022-5555,Web Application Firewall,7.7,False,0.01197
CVE-2026-1606,Core Banking Framework,7.9,False,0.01192
CVE-2025-1825,Enterprise Router OS,5.3,False,0.01783
CVE-2023-3539,Web Application Firewall,9.8,False,0.04975
CVE-2024-1863,Identity Provider SaaS,6.4,False,0.00812
CVE-2023-1784,Identity Provider SaaS,5.3,False,0.02985
CVE-2024-7287,Identity Provider SaaS,9.3,False,0.90435
CVE-2025-1825,Embedded IoT Gateway,4.2,False,0.03689
CVE-2026-9529,Embedded IoT Gateway,4.7,False,0.00355
CVE-2026-1417,Web Application Firewall,7.6,False,0.03406
CVE-2026-4440,Enterprise Router OS,9.3,False,0.0426
CVE-2023-8721,Enterprise Router OS,6.0,False,0.00574
CVE-2023-6854,Web Application Firewall,5.1,False,0.02354
CVE-2023-4843,Cloud Database Engine,4.8,False,0.00846
CVE-2026-5330,Web Application Firewall,8.5,False,0.00466
CVE-2023-6854,Enterprise Router OS,7.4,False,0.00095
CVE-2026-6801,Web Application Firewall,5.7,True,0.59392
CVE-2025-2484,Web Application Firewall,8.5,False,0.03866
CVE-2023-2066,Enterprise Router OS,8.6,False,0.00337
CVE-2024-5499,Identity Provider SaaS,9.1,False,0.02257
CVE-2025-8192,Identity Provider SaaS,7.6,False,0.85863
CVE-2022-4763,Identity Provider SaaS,5.5,True,0.40808
CVE-2025-1825,Core Banking Framework,9.7,False,0.02659
CVE-2026-7316,Core Banking Framework,5.8,False,0.01189
CVE-2025-1775,Identity Provider SaaS,9.7,False,0.04721
CVE-2022-2636,Web Application Firewall,8.6,False,0.01638
CVE-2023-3047,Cloud Database Engine,5.3,True,0.74313
CVE-2023-7396,Cloud Database Engine,9.2,False,0.00968
CVE-2026-2069,Core Banking Framework,8.7,False,0.03817
CVE-2024-7966,Embedded IoT Gateway,9.8,False,0.00056
CVE-2025-6301,Web Application Firewall,8.1,False,0.02483
CVE-2022-5000,Web Application Firewall,6.0,False,0.04923
CVE-2022-5611,Core Banking Framework,4.4,False,0.0302
CVE-2026-7873,Identity Provider SaaS,8.2,False,0.00246
CVE-2022-5000,Identity Provider SaaS,4.6,False,0.00755
CVE-2022-2853,Web Application Firewall,7.7,False,0.00098
CVE-2024-6191,Enterprise Router OS,4.5,False,0.35343
CVE-2023-2986,Cloud Database Engine,9.9,False,0.04116
CVE-2022-2959,Embedded IoT Gateway,4.6,False,0.00206
CVE-2022-2542,Enterprise Router OS,4.3,False,0.04361
CVE-2025-1004,Embedded IoT Gateway,8.8,False,0.00447
CVE-2022-2636,Embedded IoT Gateway,7.6,False,0.00252
CVE-2023-9308,Cloud Database Engine,6.6,False,0.03269
CVE-2026-8041,Core Banking Framework,7.7,False,0.03734
CVE-2026-5107,Core Banking Framework,8.0,False,0.0361
CVE-2022-1190,Core Banking Framework,10.0,False,0.01038
CVE-2025-2016,Core Banking Framework,4.4,True,0.47522
CVE-2024-3427,Cloud Database Engine,8.5,False,0.01887
CVE-2024-9838,Embedded IoT Gateway,4.2,False,0.02221
CVE-2024-1395,Identity Provider SaaS,5.7,False,0.02356
CVE-2026-6393,Enterprise Router OS,4.8,False,0.00939
CVE-2024-3558,Web Application Firewall,7.1,False,0.59727
CVE-2024-4152,Cloud Database Engine,9.1,True,0.70012
CVE-2023-6986,Core Banking Framework,5.4,False,0.02238
CVE-2022-2853,Cloud Database Engine,6.7,False,0.60562
CVE-2023-7938,Identity Provider SaaS,9.7,False,0.01928
CVE-2023-5736,Core Banking Framework,6.1,False,0.03542
CVE-2023-6442,Web Application Firewall,5.2,False,0.00333
CVE-2022-8114,Embedded IoT Gateway,4.3,False,0.00941
CVE-2023-8721,Core Banking Framework,4.6,False,0.02017
CVE-2024-9967,Identity Provider SaaS,6.9,False,0.32038
CVE-2024-2122,Embedded IoT Gateway,8.0,False,0.75737
CVE-2024-6578,Web Application Firewall,5.5,False,0.01903
CVE-2022-3049,Cloud Database Engine,7.7,False,0.002
CVE-2025-7190,Enterprise Router OS,5.3,False,0.03274
CVE-2024-6249,Web Application Firewall,7.9,False,0.96448
CVE-2025-7002,Enterprise Router OS,9.2,False,0.03705
CVE-2026-4072,Identity Provider SaaS,9.2,False,0.03263
CVE-2024-3427,Enterprise Router OS,6.2,False,0.01973
CVE-2026-1417,Enterprise Router OS,6.7,True,0.6992
CVE-2023-6534,Web Application Firewall,7.7,False,0.04324
CVE-2026-8158,Core Banking Framework,6.0,False,0.02922
CVE-2023-1539,Embedded IoT Gateway,7.6,False,0.03605
CVE-2026-6393,Identity Provider SaaS,4.0,False,0.01255
CVE-2026-8421,Identity Provider SaaS,4.4,False,0.00552
CVE-2022-4104,Web Application Firewall,5.8,False,0.01591
CVE-2023-8806,Cloud Database Engine,6.4,False,0.02636
CVE-2026-2191,Embedded IoT Gateway,5.1,False,0.00579
CVE-2023-4719,Embedded IoT Gateway,6.5,False,0.01899
CVE-2023-8509,Cloud Database Engine,4.7,True,0.73383
CVE-2025-4709,Web Application Firewall,7.6,False,0.00915
CVE-2022-2648,Core Banking Framework,9.4,False,0.01315
CVE-2024-4157,Cloud Database Engine,8.4,False,0.04057
CVE-2023-6986,Cloud Database Engine,6.7,False,0.03698
CVE-2026-5330,Identity Provider SaaS,7.6,False,0.02257
CVE-2022-2365,Identity Provider SaaS,9.9,False,0.79255
CVE-2026-3062,Core Banking Framework,4.5,False,0.01
CVE-2026-9754,Enterprise Router OS,5.4,False,0.65296
CVE-2025-7944,Embedded IoT Gateway,8.8,False,0.04406
CVE-2023-7184,Identity Provider SaaS,7.2,False,0.03364
CVE-2026-3738,Embedded IoT Gateway,8.0,False,0.02353
CVE-2023-7938,Web Application Firewall,7.4,False,0.03466
CVE-2024-3489,Cloud Database Engine,4.6,False,0.0177
CVE-2026-9754,Embedded IoT Gateway,6.8,False,0.96243
CVE-2022-8400,Core Banking Framework,8.4,False,0.03374
CVE-2026-5887,Embedded IoT Gateway,8.3,True,0.50613
CVE-2022-3049,Core Banking Framework,6.2,False,0.02791
CVE-2022-8339,Web Application Firewall,7.4,False,0.02016
CVE-2025-6625,Cloud Database Engine,7.8,False,0.03621
CVE-2025-7668,Embedded IoT Gateway,8.9,False,0.40458
CVE-2025-8390,Embedded IoT Gateway,7.4,False,0.02423
CVE-2025-7190,Embedded IoT Gateway,7.6,False,0.04155
CVE-2026-8041,Embedded IoT Gateway,4.5,False,0.70412
CVE-2023-4843,Web Application Firewall,9.3,False,0.00052
CVE-2026-1064,Web Application Firewall,7.6,False,0.02844
CVE-2026-6541,Enterprise Router OS,4.3,False,0.77262
CVE-2023-8554,Enterprise Router OS,4.9,False,0.0055
CVE-2022-2853,Embedded IoT Gateway,7.7,False,0.01202
CVE-2026-5107,Embedded IoT Gateway,7.9,False,0.03971
CVE-2023-1512,Web Application Firewall,7.9,False,0.02434
CVE-2025-1728,Core Banking Framework,8.6,True,0.58298
CVE-2023-2066,Core Banking Framework,4.1,False,0.00729
CVE-2026-2678,Core Banking Framework,4.1,False,0.04018
CVE-2023-8509,Embedded IoT Gateway,6.2,False,0.02522
CVE-2023-6305,Core Banking Framework,6.9,False,0.037
CVE-2023-6988,Identity Provider SaaS,6.3,False,0.03936
CVE-2023-9815,Enterprise Router OS,4.6,False,0.04054
CVE-2023-4627,Identity Provider SaaS,7.0,False,0.01173
CVE-2023-8509,Identity Provider SaaS,4.6,False,0.00287
CVE-2022-6188,Enterprise Router OS,8.5,False,0.00572
CVE-2024-2899,Core Banking Framework,7.1,False,0.04958
CVE-2024-1851,Identity Provider SaaS,5.1,False,0.74901
CVE-2025-7949,Cloud Database Engine,4.1,False,0.01512
CVE-2023-6305,Enterprise Router OS,9.9,False,0.47368
CVE-2024-2495,Enterprise Router OS,7.9,False,0.95857
CVE-2024-1699,Embedded IoT Gateway,5.8,False,0.02933
CVE-2026-6348,Embedded IoT Gateway,4.9,True,0.37535
CVE-2026-5465,Enterprise Router OS,6.2,False,0.03084
CVE-2023-7619,Embedded IoT Gateway,5.4,False,0.0444
CVE-2025-5199,Web Application Firewall,9.2,False,0.01299
CVE-2024-1699,Web Application Firewall,9.1,False,0.03298
CVE-2026-8421,Web Application Firewall,8.5,False,0.03653
CVE-2026-5330,Core Banking Framework,8.1,False,0.02468
CVE-2026-6855,Embedded IoT Gateway,8.4,False,0.02566
CVE-2024-1956,Core Banking Framework,5.0,False,0.46774
CVE-2023-3539,Identity Provider SaaS,10.0,False,0.0401
CVE-2025-9666,Enterprise Router OS,7.3,True,0.81747
CVE-2024-6056,Embedded IoT Gateway,8.5,False,0.01871
CVE-2024-8526,Identity Provider SaaS,9.1,False,0.00667
CVE-2023-1262,Core Banking Framework,7.9,False,0.00732
CVE-2026-8164,Core Banking Framework,4.0,False,0.41348
CVE-2023-9308,Enterprise Router OS,6.3,False,0.02575
CVE-2026-6734,Core Banking Framework,7.5,False,0.03037
CVE-2024-8343,Web Application Firewall,8.8,False,0.02516
CVE-2024-1851,Web Application Firewall,8.2,False,0.01089
CVE-2023-8805,Identity Provider SaaS,6.6,False,0.02198
CVE-2026-2060,Embedded IoT Gateway,4.4,False,0.03681
CVE-2023-2679,Web Application Firewall,8.5,False,0.01055
CVE-2024-1863,Cloud Database Engine,6.0,True,0.31645
CVE-2022-2062,Web Application Firewall,5.6,False,0.04706
CVE-2025-2016,Web Application Firewall,5.4,False,0.0243
CVE-2022-6864,Core Banking Framework,8.2,False,0.91466
CVE-2022-9352,Enterprise Router OS,4.0,True,0.45315
CVE-2022-2959,Web Application Firewall,4.2,False,0.03946
CVE-2025-7799,Cloud Database Engine,9.1,False,0.04273
CVE-2023-5736,Embedded IoT Gateway,7.7,False,0.0161
CVE-2026-1769,Web Application Firewall,9.4,True,0.75138
CVE-2026-6393,Cloud Database Engine,4.9,False,0.01724
CVE-2022-8560,Cloud Database Engine,8.3,False,0.76495
CVE-2022-5737,Enterprise Router OS,7.3,False,0.02449
CVE-2024-6578,Cloud Database Engine,8.0,False,0.88615
CVE-2022-1098,Web Application Firewall,5.7,False,0.54206
CVE-2022-5282,Identity Provider SaaS,8.7,False,0.00865
CVE-2024-4157,Web Application Firewall,8.5,True,0.38585
CVE-2022-4763,Web Application Firewall,5.0,False,0.02823
CVE-2023-4627,Cloud Database Engine,7.3,False,0.53369
CVE-2022-9006,Enterprise Router OS,6.3,False,0.02286
CVE-2025-1004,Identity Provider SaaS,8.7,False,0.0264
CVE-2023-7819,Embedded IoT Gateway,5.7,False,0.01019
CVE-2026-3914,Cloud Database Engine,4.9,False,0.01618
CVE-2024-7801,Identity Provider SaaS,5.7,False,0.43737
CVE-2025-7949,Core Banking Framework,8.4,False,0.04003
CVE-2022-3502,Identity Provider SaaS,9.3,False,0.04837
CVE-2026-7019,Core Banking Framework,9.9,False,0.00871
CVE-2025-7546,Cloud Database Engine,6.6,False,0.68063
CVE-2026-8004,Enterprise Router OS,8.9,False,0.04869
CVE-2023-2540,Embedded IoT Gateway,9.5,False,0.04941
CVE-2023-6442,Cloud Database Engine,4.6,False,0.5366
CVE-2024-8526,Enterprise Router OS,6.6,False,0.04041
CVE-2025-4486,Identity Provider SaaS,7.8,False,0.01659
CVE-2025-5946,Embedded IoT Gateway,8.1,False,0.04959
CVE-2026-6745,Enterprise Router OS,5.8,False,0.04362
CVE-2023-5859,Enterprise Router OS,8.7,False,0.04541
CVE-2026-1659,Core Banking Framework,7.3,False,0.00598
CVE-2023-8554,Web Application Firewall,9.5,False,0.00139
